#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,552.46143,0.0019814388711288833
1,-0.0007777777777777778,552.4499699999999,0.002379516757666694
2,-0.0005555555555555556,552.44136,0.0008957678270512172
3,-0.00033333333333333327,552.43904,0.0009871170143509014
4,-0.00011111111111111109,552.43259,0.0013064838307416404
5,0.00011111111111111109,552.4302500000001,0.001002247474436952
6,0.0003333333333333335,552.419,0.0011670475568611605
7,0.0005555555555555557,552.4299000000001,0.0014628738838417072
8,0.0007777777777777778,552.44296,0.0011629273408220115
9,0.001,552.45445,0.0005869412236272297
