#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,9753.5102,302.28740368788146
1,-0.0007777777777777778,9854.2172,0.024363086832519237
2,-0.0005555555555555556,9854.2024,0.018958902921744545
3,-0.00033333333333333327,9854.182100000002,0.040623761519528616
4,-0.00011111111111111109,9854.220099999999,0.024308229059429864
5,0.00011111111111111109,9854.299899999998,0.023939298235338035
6,0.0003333333333333335,9854.3844,0.03003731013262438
7,0.0005555555555555557,9854.505699999998,0.02050877860827573
8,0.0007777777777777778,9854.5384,0.03941370320091347
9,0.001,9854.4954,0.026359817905401036
