#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,979073.2799999999,13.396850376121662
1,-0.0007777777777777778,979096.2,12.444115075018857
2,-0.0005555555555555556,979102.1399999999,11.340917070491155
3,-0.00033333333333333327,979136.75,13.4239524731121
4,-0.00011111111111111109,979154.9800000001,13.454872723293233
5,0.00011111111111111109,979204.89,13.26841738869428
6,0.0003333333333333335,979239.8400000001,23.023214371602492
7,0.0005555555555555557,979241.51,13.230453506971172
8,0.0007777777777777778,979202.9799999999,12.221849287246599
9,0.001,979171.26,12.170143795376681
