#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,9854.602599999998,0.03211292574643756
1,-0.0007777777777777778,9854.771599999998,0.03253674845460228
2,-0.0005555555555555556,9854.988000000001,0.020484140206626002
3,-0.00033333333333333327,9854.9475,0.052418031248698996
4,-0.00011111111111111109,9854.9632,0.0325139969859417
5,0.00011111111111111109,9854.790900000002,0.04494541133433682
6,0.0003333333333333335,9854.81,0.024099792530095192
7,0.0005555555555555557,9854.7345,0.02661296676414937
8,0.0007777777777777778,9854.7656,0.026146510283595048
9,0.001,9854.6076,0.0401751166770167
