#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,4637.9104,0.01806765064985302
1,-0.0007777777777777778,4637.9576,0.006264183905225789
2,-0.0005555555555555556,4637.959700000001,0.006512296062010089
3,-0.00033333333333333327,4637.919500000001,0.006844705983405147
4,-0.00011111111111111109,4637.8498,0.009662297863378124
5,0.00011111111111111109,4637.821,0.008899438184559844
6,0.0003333333333333335,4637.7989,0.010718675291202132
7,0.0005555555555555557,4637.822,0.006841052550579299
8,0.0007777777777777778,4637.7983,0.0081369527466537
9,0.001,4637.8405,0.005783597496296605
