#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,986.49053,0.0026268041419219954
1,-0.0007777777777777778,986.4807700000001,0.0030245826158514007
2,-0.0005555555555555556,986.4795999999999,0.0021095023109575072
3,-0.00033333333333333327,986.4637500000001,0.003876918879727719
4,-0.00011111111111111109,986.44982,0.0017080983578071837
5,0.00011111111111111109,986.4548000000001,0.0023396580946909895
6,0.0003333333333333335,986.4540700000001,0.0007642643521805394
7,0.0005555555555555557,986.45947,0.0010807867504608706
8,0.0007777777777777778,986.45273,0.0036353954392851382
9,0.001,986.4479100000001,0.0022101809880766578
