#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,10353937.0,705.4367441521599
1,-0.0007777777777777778,10356287.0,851.6108266103714
2,-0.0005555555555555556,10357646.0,625.6868226197512
3,-0.00033333333333333327,10357255.0,500.8642530666368
4,-0.00011111111111111109,10356043.0,434.7884543085292
5,0.00011111111111111109,10355594.0,647.9845677174727
6,0.0003333333333333335,10355707.0,708.6755251876559
7,0.0005555555555555557,10356976.0,682.9377716893392
8,0.0007777777777777778,10357001.0,593.1180320981651
9,0.001,10356603.0,641.9665100299236
