#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,10356961.0,551.6964745219966
1,-0.0007777777777777778,10357450.0,694.2910052708446
2,-0.0005555555555555556,10357792.0,563.5033274080997
3,-0.00033333333333333327,10357181.0,511.37950682443267
4,-0.00011111111111111109,10356097.0,489.0613458452835
5,0.00011111111111111109,10356012.0,678.0825908397885
6,0.0003333333333333335,10357129.0,824.6387087688765
7,0.0005555555555555557,10359320.0,907.1383576941281
8,0.0007777777777777778,10361098.0,776.644062618134
9,0.001,10362025.0,653.7927806270118
