#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,986.8142700000001,0.0010592922165283715
1,-0.0007777777777777778,986.81276,0.0004340506882894559
2,-0.0005555555555555556,986.81161,0.0005318834458757581
3,-0.00033333333333333327,986.81057,0.00017349351572539635
4,-0.00011111111111111109,986.81129,0.0007634788798707076
5,0.00011111111111111109,986.81134,0.0006343500610996793
6,0.0003333333333333335,986.8101199999999,0.0004331281565441222
7,0.0005555555555555557,986.81171,0.0011493041373004881
8,0.0007777777777777778,986.8159499999999,0.0006830080526586652
9,0.001,986.8169699999999,0.0007043436661017327
