#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,4640.566400000001,0.008380930735952027
1,-0.0007777777777777778,4640.5448,0.004770744176887551
2,-0.0005555555555555556,4640.5413,0.0032878564444942604
3,-0.00033333333333333327,4640.5398,0.0054918120872633125
4,-0.00011111111111111109,4640.5589,0.009575489543642015
5,0.00011111111111111109,4640.5704,0.00352703841778873
6,0.0003333333333333335,4640.5712,0.0037629775445593974
7,0.0005555555555555557,4640.5713000000005,0.007239475119188253
8,0.0007777777777777778,4640.598899999999,0.011228980363192006
9,0.001,4640.6295,0.009478923989622898
