#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,980335.0199999999,28.375334359265345
1,-0.0007777777777777778,980336.01,8.025266350718343
2,-0.0005555555555555556,980339.2699999999,7.890506954555585
3,-0.00033333333333333327,980342.76,9.755019220895532
4,-0.00011111111111111109,980356.93,2.4621332214224956
5,0.00011111111111111109,980368.6399999999,16.86559812160971
6,0.0003333333333333335,980382.5399999998,5.846400602079069
7,0.0005555555555555557,980404.5600000002,13.632329221373904
8,0.0007777777777777778,980410.07,5.00140980125989
9,0.001,980416.0100000001,3.8980636218595475
