#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,986.8168099999999,0.0020496097189297837
1,-0.0007777777777777778,986.8134300000002,0.0005478138370013034
2,-0.0005555555555555556,986.8139000000001,0.0005999999999877067
3,-0.00033333333333333327,986.8131799999999,0.0009631199302543652
4,-0.00011111111111111109,986.8103599999998,0.000529528091782685
5,0.00011111111111111109,986.8067600000002,0.0013169662106499677
6,0.0003333333333333335,986.80381,0.000665507325262778
7,0.0005555555555555557,986.80538,0.0007386474124929729
8,0.0007777777777777778,986.8052799999999,0.0006705221845711824
9,0.001,986.8062600000001,0.0005219195340250638
