#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,10389994.0,176.92936443677178
1,-0.0007777777777777778,10390122.0,29.93325909419153
2,-0.0005555555555555556,10390005.0,43.87482193696061
3,-0.00033333333333333327,10390058.0,136.36715146984628
4,-0.00011111111111111109,10390011.0,45.044422518220834
5,0.00011111111111111109,10389966.0,135.4400236266961
6,0.0003333333333333335,10390091.0,72.86288492778748
7,0.0005555555555555557,10390195.0,63.60031446463138
8,0.0007777777777777778,10390230.0,32.55764119219941
9,0.001,10390032.0,60.63002556489647
