#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,986.8146299999999,0.0012783192089414102
1,-0.0007777777777777778,986.8100400000001,0.0011525623627533883
2,-0.0005555555555555556,986.80736,0.00042237424162757775
3,-0.00033333333333333327,986.8083199999999,0.0006079473661611384
4,-0.00011111111111111109,986.8074899999999,0.0006934695379111659
5,0.00011111111111111109,986.81017,0.0006050619803040598
6,0.0003333333333333335,986.81191,0.0004392038251191983
7,0.0005555555555555557,986.8144500000001,0.0007283543094045069
8,0.0007777777777777778,986.81369,0.0004928488612188339
9,0.001,986.8134,0.0005513619500895406
