#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,552.79379,0.0009159148431950031
1,-0.0007777777777777778,552.79205,0.00046314144708039823
2,-0.0005555555555555556,552.7931500000001,0.000233452350608151
3,-0.00033333333333333327,552.79301,0.00038845849198724126
4,-0.00011111111111111109,552.79262,0.0004770744176735038
5,0.00011111111111111109,552.7921200000001,0.0005810335618753855
6,0.0003333333333333335,552.79176,0.000422374241632961
7,0.0005555555555555557,552.7931900000001,0.0007529276193635876
8,0.0007777777777777778,552.7954400000001,0.000482078831717113
9,0.001,552.79578,0.0004377213725697068
