#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,4640.4131,0.009873702446378153
1,-0.0007777777777777778,4640.398300000001,0.006116371473439893
2,-0.0005555555555555556,4640.402599999999,0.004882622246274884
3,-0.00033333333333333327,4640.4167,0.005657738063929507
4,-0.00011111111111111109,4640.4277,0.009539916142250702
5,0.00011111111111111109,4640.443300000001,0.005060632371520842
6,0.0003333333333333335,4640.4565999999995,0.008101851640238956
7,0.0005555555555555557,4640.4672,0.006257795138860714
8,0.0007777777777777778,4640.469700000001,0.007043436661170018
9,0.001,4640.456700000001,0.005967411499167295
