#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,216.76214,0.0003440930106847027
1,-0.0007777777777777778,216.762,0.0003162277660183479
2,-0.0005555555555555556,216.76146,0.00024576411454640924
3,-0.00033333333333333327,216.76144,0.00040792156108396385
4,-0.00011111111111111109,216.76282,0.000515363949070451
5,0.00011111111111111109,216.76338,0.0004512205669067489
6,0.0003333333333333335,216.76403,0.000471274866722053
7,0.0005555555555555557,216.76354999999998,0.0004432832051818312
8,0.0007777777777777778,216.76237,0.00044056781544006584
9,0.001,216.76161000000002,0.00044821869662408194
