#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,9858.800899999998,0.03329699686165673
1,-0.0007777777777777778,9858.791000000001,0.006276941930448901
2,-0.0005555555555555556,9858.7919,0.016379560433871045
3,-0.00033333333333333327,9858.8098,0.009987992791575234
4,-0.00011111111111111109,9858.800399999998,0.011867602959212305
5,0.00011111111111111109,9858.814299999998,0.00924175308045472
6,0.0003333333333333335,9858.8322,0.010166612021470659
7,0.0005555555555555557,9858.856000000002,0.012222929272587073
8,0.0007777777777777778,9858.882399999999,0.00873155198123116
9,0.001,9858.8966,0.007838367177119963
