#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,216.7625,0.0008354639429660147
1,-0.0007777777777777778,216.76299,0.0005557877292650315
2,-0.0005555555555555556,216.76305000000002,0.00036674241641761993
3,-0.00033333333333333327,216.76241,0.0004592385001313163
4,-0.00011111111111111109,216.76237,0.0005292447448957096
5,0.00011111111111111109,216.76158,0.0005963220606328944
6,0.0003333333333333335,216.76077,0.0003257299494968185
7,0.0005555555555555557,216.76048,0.00022715633383429672
8,0.0007777777777777778,216.76128,0.00052115256882981
9,0.001,216.76141,0.0004570557952790052
