#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,10389255.0,276.9205662279348
1,-0.0007777777777777778,10389788.0,114.43775600735974
2,-0.0005555555555555556,10390108.0,52.687759489277965
3,-0.00033333333333333327,10389992.0,119.3984924527944
4,-0.00011111111111111109,10389729.0,114.58184847522752
5,0.00011111111111111109,10389921.0,126.05157674539419
6,0.0003333333333333335,10390209.0,152.73833834371774
7,0.0005555555555555557,10390422.0,88.40814442120137
8,0.0007777777777777778,10390626.0,32.92415526630866
9,0.001,10390689.0,62.68173577685928
