#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,10385037.0,259.9249891795708
1,-0.0007777777777777778,10385509.0,71.19691004531025
2,-0.0005555555555555556,10385612.0,121.14454176726247
3,-0.00033333333333333327,10385792.0,140.27116596079182
4,-0.00011111111111111109,10385728.0,40.93897898091744
5,0.00011111111111111109,10385625.0,58.52349955359813
6,0.0003333333333333335,10385581.0,58.0430874437258
7,0.0005555555555555557,10385894.0,99.61927524329818
8,0.0007777777777777778,10386347.0,91.76600677810929
9,0.001,10386811.0,164.16150584104668
