#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,9858.613200000002,0.03304179171890689
1,-0.0007777777777777778,9858.5735,0.010846658471441594
2,-0.0005555555555555556,9858.5966,0.016384138671155516
3,-0.00033333333333333327,9858.639799999999,0.009836666101726788
4,-0.00011111111111111109,9858.7024,0.015531902652013646
5,0.00011111111111111109,9858.7842,0.023206895526769432
6,0.0003333333333333335,9858.868600000002,0.01496796579382578
7,0.0005555555555555557,9858.9043,0.01489999999990052
8,0.0007777777777777778,9858.8977,0.012353542002432565
9,0.001,9858.8576,0.018810635289532796
