#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,10388074.0,221.23290894439734
1,-0.0007777777777777778,10388414.0,40.792156108742276
2,-0.0005555555555555556,10388724.0,160.76069171286866
3,-0.00033333333333333327,10389245.0,109.74971526158963
4,-0.00011111111111111109,10389655.0,77.4919350642375
5,0.00011111111111111109,10389871.0,48.46648326421054
6,0.0003333333333333335,10389798.0,128.51459061133875
7,0.0005555555555555557,10389800.0,70.42726744663604
8,0.0007777777777777778,10389627.0,79.63039620647382
9,0.001,10389385.0,62.489999199871974
