#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,980448.3699999999,26.773421522111228
1,-0.0007777777777777778,980461.03,19.570388345666313
2,-0.0005555555555555556,980458.8300000001,7.042733844185644
3,-0.00033333333333333327,980466.2500000002,4.064049704419655
4,-0.00011111111111111109,980476.1300000001,7.523702545952848
5,0.00011111111111111109,980472.3699999999,10.239145472135057
6,0.0003333333333333335,980477.1,6.419501538291588
7,0.0005555555555555557,980481.4199999999,17.314144506720943
8,0.0007777777777777778,980471.21,4.132178602146938
9,0.001,980464.11,5.51315699032856
