#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,9858.061899999999,0.016849035580871613
1,-0.0007777777777777778,9858.1125,0.025334758732115558
2,-0.0005555555555555556,9858.174799999999,0.022955609336375526
3,-0.00033333333333333327,9858.2317,0.016480594649291427
4,-0.00011111111111111109,9858.306900000001,0.02564546743561806
5,0.00011111111111111109,9858.4019,0.023733731270156325
6,0.0003333333333333335,9858.4526,0.012877888025394314
7,0.0005555555555555557,9858.480099999999,0.011962023240436858
8,0.0007777777777777778,9858.484500000002,0.007940403012341698
9,0.001,9858.474,0.008683317338132128
