#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,552.7970799999999,0.0007884161337836429
1,-0.0007777777777777778,552.79442,0.0006095900261654079
2,-0.0005555555555555556,552.7941800000001,0.0004621688003381407
3,-0.00033333333333333327,552.79512,0.00033406586175809016
4,-0.00011111111111111109,552.79456,0.0005276362383406757
5,0.00011111111111111109,552.79359,0.0005204805471833971
6,0.0003333333333333335,552.79433,0.0006116371473386362
7,0.0005555555555555557,552.79427,0.00043139309220696393
8,0.0007777777777777778,552.7945900000001,0.00039102429593063434
9,0.001,552.7941099999999,0.0008018104513972537
