#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,217.09168,0.0008704022058789332
1,-0.0007777777777777778,217.09056,0.0006374950980269975
2,-0.0005555555555555556,217.09029999999998,0.00044497190922262683
3,-0.00033333333333333327,217.0885,0.0007720103626286584
4,-0.00011111111111111109,217.09037000000004,0.0006738694235540334
5,0.00011111111111111109,217.08519,0.0004846648326455866
6,0.0003333333333333335,217.08603999999997,0.000494368283771495
7,0.0005555555555555557,217.08613,0.0004382921400189703
8,0.0007777777777777778,217.08936,0.0007213875518768992
9,0.001,217.09315999999998,0.0005936328831831501
